
Cell Center of Image Mass Ch=1 Img=1
 ==================== 
Cell Center of Image Mass X,Cell Center of Image Mass Y,Cell Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
47197.3,56964.8,93.6215,um,Cell,1,Cell Center of Image Mass,Image 1,1,ATM,3,
47177.6,56945.4,98.048,um,Cell,1,Cell Center of Image Mass,Image 1,1,ATM,4,
47154.5,56901.2,66.2277,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,0,
47163.7,56906.7,75.7716,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,1,
