
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
10.163,um,Surface,1,TVCgroup,0,
9.62382,um,Surface,1,ATMgroup,3,
