
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,ID,
39.6602,77.9023,29.6738,um,Surface,BoundingBoxAA Length,1,ATMgroup,1,
41.3789,33.3828,25.4347,um,Surface,BoundingBoxAA Length,1,TVCgroup,0,
