
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,ID,
68.7266,61.625,20.7482,um,Surface,BoundingBoxAA Length,1,ATMgroup,5,
40.0352,42.5977,15.667,um,Surface,BoundingBoxAA Length,1,TVCgroup,0,
