
Cell Sphericity
 ==================== 
Cell Sphericity,Unit,Category,Time,Default Labels,ID,
0.258978,,Cell,1,ATM,0,
0.2708,,Cell,1,ATM,1,
0.426845,,Cell,1,TVC,2,
0.45017,,Cell,1,TVC,3,
0.436668,,Cell,1,TVC,4,
0.258355,,Cell,1,TVC,5,
