
Cell BoundingBoxAA Length
 ==================== 
Cell BoundingBoxAA Length X,Cell BoundingBoxAA Length Y,Cell BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,ID,
24.2227,22.5156,16.5139,um,Cell,Cell BoundingBoxAA Length,1,ATM,1,
23.082,22.2266,16.9373,um,Cell,Cell BoundingBoxAA Length,1,ATM,6,
27.0703,26.7891,18.2076,um,Cell,Cell BoundingBoxAA Length,1,ATM,7,
13.1094,22.7969,13.5499,um,Cell,Cell BoundingBoxAA Length,1,TVC,2,
20.2344,14.8125,11.8561,um,Cell,Cell BoundingBoxAA Length,1,TVC,3,
19.9492,26.5,16.0905,um,Cell,Cell BoundingBoxAA Length,1,TVC,4,
15.957,19.375,12.703,um,Cell,Cell BoundingBoxAA Length,1,TVC,5,
16.8125,15.1016,14.3967,um,Cell,Cell BoundingBoxAA Length,1,TVC,10,
