
Cell Ellipsoid Axis Length A
 ==================== 
Cell Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
4.5349,um,Cell,1,TVC,0,
5.42392,um,Cell,1,TVC,1,
6.2369,um,Cell,1,TVC,2,
5.91848,um,Cell,1,TVC,3,
7.96062,um,Cell,1,ATM,6,
7.823,um,Cell,1,ATM,7,
