
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
0.367613,-0.561529,0.741314,um,Surface,Ellipsoid Axis A,1,ATMgroup,4,
0.896605,0.414154,0.156767,um,Surface,Ellipsoid Axis A,1,TVCgroup,0,
