
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
44857.4,27032.7,60.5884,um,Surface,2,Center of Image Mass,Image 1,1,ATMgroup,4,
44870,27093.2,81.5252,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,0,
