
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
17.4345,um,Surface,1,TVCgroup,0,
59.073,um,Surface,1,ATMgroup,4,
