
Nucleus Ellipsoid Axis Length B
 ==================== 
Nucleus Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,CellID,ID,
3.05867,um,Nucleus,1,TVC,0,100000000,
4.00598,um,Nucleus,1,TVC,1,100000001,
3.41023,um,Nucleus,1,TVC,2,100000002,
4.15675,um,Nucleus,1,TVC,3,100000003,
5.60306,um,Nucleus,1,ATM,4,100000004,
6.00251,um,Nucleus,1,ATM,5,100000005,
