
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
38698.2,81103.9,40.8302,um,Surface,2,Center of Image Mass,Image 1,1,ATM,0,
38720.8,81085.8,14.0521,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,1,
