
Nucleus Ellipsoid Axis Length B
 ==================== 
Nucleus Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,CellID,ID,
5.59664,um,Nucleus,1,ATM,2,100000001,
4.76815,um,Nucleus,1,ATM,3,100000002,
2.17382,um,Nucleus,1,TVC,6,100000005,
3.2928,um,Nucleus,1,TVC,8,100000007,
2.94453,um,Nucleus,1,TVC,9,100000008,
2.58798,um,Nucleus,1,TVC,10,100000009,
