
Cell Ellipsoid Axis A
 ==================== 
Cell Ellipsoid Axis A X,Cell Ellipsoid Axis A Y,Cell Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
-0.10194,-0.168358,-0.980441,um,Cell,Cell Ellipsoid Axis A,1,ATM,2,
-0.706273,-0.364127,0.607116,um,Cell,Cell Ellipsoid Axis A,1,TVC,4,
0.417418,0.836236,0.355628,um,Cell,Cell Ellipsoid Axis A,1,TVC,7,
-0.57665,-0.604471,-0.549626,um,Cell,Cell Ellipsoid Axis A,1,TVC,8,
-0.749055,-0.0305729,-0.661802,um,Cell,Cell Ellipsoid Axis A,1,TVC,9,
-0.79496,0.51546,-0.319905,um,Cell,Cell Ellipsoid Axis A,1,TVC,11,
