
Nucleus Ellipsoid Axis Length C
 ==================== 
Nucleus Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,CellID,ID,
5.88966,um,Nucleus,1,ATM,1,100000006,
5.72092,um,Nucleus,1,TVC,8,100000007,
4.59034,um,Nucleus,1,TVC,9,100000008,
5.26139,um,Nucleus,1,TVC,10,100000009,
5.99973,um,Nucleus,1,TVC,11,100000010,
6.83552,um,Nucleus,1,TVC,12,100000011,
