
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Default Labels,ID,
38949.7,40033,92.7742,um,Surface,Position,1,ATM,2,
38908.3,40062.2,83.8489,um,Surface,Position,1,TVCgroup,0,
