
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
52.6678,um,Surface,1,ATMgroup,0,
16.0918,um,Surface,1,TVCgroup,3,
