
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
33659.8,90049.3,208.803,um,Surface,1,Center of Image Mass,Image 1,1,ATM,0,
33609.9,90050.3,191.742,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,1,
