
Cell Area
 ==================== 
Cell Area,Unit,Category,Time,Default Labels,ID,
917.971,um^2,Cell,1,TVC,1,
1479.65,um^2,Cell,1,TVC,3,
3088.8,um^2,Cell,1,ATM,6,
3470.44,um^2,Cell,1,ATM,8,
4198.79,um^2,Cell,1,ATM,9,
