
Cell Ellipsoid Axis Length A
 ==================== 
Cell Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
6.52464,um,Cell,1,ATM,0,
4.67928,um,Cell,1,TVC,1,
6.52082,um,Cell,1,TVC,2,
6.39182,um,Cell,1,TVC,5,
8.94484,um,Cell,1,TVC,6,
5.89212,um,Cell,1,TVC,9,
