
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
0.508245,-0.33497,-0.793399,um,Surface,Ellipsoid Axis A,1,ATMgroup,0,
0.00253944,0.154948,-0.987919,um,Surface,Ellipsoid Axis A,1,TVCgroup,2,
