
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Default Labels,ID,
35668.5,57202.5,173.106,um,Surface,Position,1,ATM,3,
35700,57203.5,129.799,um,Surface,Position,1,TVCgroup,0,
