
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,ID,
0.262067,-0.460557,-0.848062,um,Surface,Ellipsoid Axis B,1,ATMgroup,0,
0.570732,-0.349736,-0.742933,um,Surface,Ellipsoid Axis B,1,TVCgroup,2,
