
Cell Center of Homogeneous Mass
 ==================== 
Cell Center of Homogeneous Mass X,Cell Center of Homogeneous Mass Y,Cell Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
33430.9,35689.8,-0.138374,um,Cell,Cell Center of Homogeneous Mass,1,ATM,10,
33457.9,35659.8,4.32389,um,Cell,Cell Center of Homogeneous Mass,1,ATM,13,
33392.5,35716,-33.3551,um,Cell,Cell Center of Homogeneous Mass,1,TVC,1,
33382.5,35709.8,-32.0428,um,Cell,Cell Center of Homogeneous Mass,1,TVC,3,
33389.9,35706.2,-26.9572,um,Cell,Cell Center of Homogeneous Mass,1,TVC,6,
33399.9,35713.4,-27.5212,um,Cell,Cell Center of Homogeneous Mass,1,TVC,7,
