
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,ID,
68.3398,57.5625,23.7122,um,Surface,BoundingBoxAA Length,1,ATMgroup,0,
31.8906,38.4688,19.9013,um,Surface,BoundingBoxAA Length,1,TVCgroup,2,
