
Cell Center of Homogeneous Mass
 ==================== 
Cell Center of Homogeneous Mass X,Cell Center of Homogeneous Mass Y,Cell Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
37070.8,59771.3,-46.6087,um,Cell,Cell Center of Homogeneous Mass,1,ATM,1,
37071.3,59808.5,-46.6365,um,Cell,Cell Center of Homogeneous Mass,1,ATM,2,
37019.2,59733.4,-47.5009,um,Cell,Cell Center of Homogeneous Mass,1,TVC,3,
37008.2,59730.3,-45.2986,um,Cell,Cell Center of Homogeneous Mass,1,TVC,4,
