
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
0.956714,0.290066,0.0236832,um,Surface,Ellipsoid Axis A,1,ATMgroup,4,
-0.337388,0.121246,0.933525,um,Surface,Ellipsoid Axis A,1,TVCgroup,0,
