
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
15.7782,um,Surface,1,TVCgroup,0,
10.6295,um,Surface,1,ATMgroup,4,
