
Cell Center of Homogeneous Mass
 ==================== 
Cell Center of Homogeneous Mass X,Cell Center of Homogeneous Mass Y,Cell Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
38534.2,48516.7,127.663,um,Cell,Cell Center of Homogeneous Mass,1,ATM,0,
38604.3,48521.3,118.652,um,Cell,Cell Center of Homogeneous Mass,1,TVC,1,
38592.5,48517,118.241,um,Cell,Cell Center of Homogeneous Mass,1,TVC,2,
38591.7,48521.8,127.677,um,Cell,Cell Center of Homogeneous Mass,1,TVC,3,
38581.6,48517.3,130.967,um,Cell,Cell Center of Homogeneous Mass,1,TVC,4,
38600,48522.6,130.222,um,Cell,Cell Center of Homogeneous Mass,1,TVC,5,
