
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
41446,66769.7,207.104,um,Surface,1,Center of Image Mass,Image 1,1,ATMgroup,1,
41389.5,66839.5,207.873,um,Surface,1,Center of Image Mass,Image 1,1,TVC,0,
