
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
34.3474,um,Surface,1,ATMgroup,0,
15.7652,um,Surface,1,TVCgroup,2,
