
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
42305.5,82808.1,30.6312,um,Surface,1,Center of Image Mass,Image 1,1,ATMgroup,0,
42244.1,82761.5,37.2759,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,2,
