
Cell Center of Image Mass Ch=2 Img=1
 ==================== 
Cell Center of Image Mass X,Cell Center of Image Mass Y,Cell Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
38892.6,43391.2,-45.0101,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,0,
38828.8,43393.8,-52.9099,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,1,
38818.9,43400,-48.2033,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,2,
38806.4,43404.6,-40.0305,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,3,
