
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,ID,
48.0625,33.2734,17.7842,um,Surface,BoundingBoxAA Length,1,ATM,6,
32.6992,34.6875,23.7122,um,Surface,BoundingBoxAA Length,1,TVCgroup,0,
