
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
59.0479,um,Surface,1,ATMgroup,0,
40.4816,um,Surface,1,TVCgroup,1,
