
Cell Ellipsoid Axis Length B
 ==================== 
Cell Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
6.94073,um,Cell,1,TVC,0,
7.99107,um,Cell,1,TVC,1,
8.96507,um,Cell,1,ATM,2,
7.84676,um,Cell,1,TVC,3,
6.95462,um,Cell,1,TVC,4,
9.03736,um,Cell,1,ATM,5,
