
Cell BoundingBoxAA Length
 ==================== 
Cell BoundingBoxAA Length X,Cell BoundingBoxAA Length Y,Cell BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,ID,
24.457,31.8477,18.1667,um,Cell,Cell BoundingBoxAA Length,1,ATM,2,
30.9961,37.2539,15.6318,um,Cell,Cell BoundingBoxAA Length,1,ATM,3,
15.3594,13.082,13.9418,um,Cell,Cell BoundingBoxAA Length,1,TVC,8,
12.7969,12.7969,13.9418,um,Cell,Cell BoundingBoxAA Length,1,TVC,9,
15.0742,14.7891,17.7442,um,Cell,Cell BoundingBoxAA Length,1,TVC,10,
18.1992,18.7695,14.3643,um,Cell,Cell BoundingBoxAA Length,1,TVC,11,
