
Cell Distance to Image Border XYZ Img=1
 ==================== 
Cell Distance to Image Border XYZ,Unit,Category,Image,Time,Default Labels,ID,
2.96736,um,Cell,Image 1,1,TVC,0,
3.81518,um,Cell,Image 1,1,TVC,1,
8.47817,um,Cell,Image 1,1,TVC,2,
6.78254,um,Cell,Image 1,1,TVC,3,
3.39127,um,Cell,Image 1,1,ATM,4,
3.39127,um,Cell,Image 1,1,ATM,5,
