
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
40419.1,71269.7,-69.7625,um,Surface,2,Center of Image Mass,Image 1,1,ATMgroup,0,
40346.7,71227.8,-31.1053,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,2,
