
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
40527.8,36450.8,-59.6623,um,Surface,1,Center of Image Mass,Image 1,1,ATMgroup,2,
40553.4,36391.6,-37.8834,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,0,
