
Cell Center of Image Mass Ch=2 Img=1
 ==================== 
Cell Center of Image Mass X,Cell Center of Image Mass Y,Cell Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
37140.6,72433.1,-87.417,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,2,
37158.4,72455,-87.0715,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,3,
37141.6,72486.3,-79.8238,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,4,
37133.9,72495,-75.5105,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,5,
