
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
6.35247,um,Surface,1,TVCgroup,0,
6.21017,um,Surface,1,ATMgroup,4,
