
Cell Ellipsoid Axis Length A
 ==================== 
Cell Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
7.73417,um,Cell,1,ATM,0,
5.2366,um,Cell,1,TVC,1,
5.51031,um,Cell,1,TVC,2,
5.84676,um,Cell,1,TVC,3,
5.21789,um,Cell,1,TVC,4,
7.38543,um,Cell,1,TVC,5,
6.3036,um,Cell,1,TVC,6,
