
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,ID,
91.375,59.6328,33.0276,um,Surface,BoundingBoxAA Length,1,ATMgroup,4,
26.3906,37.7656,16.9372,um,Surface,BoundingBoxAA Length,1,TVCgroup,0,
