
Cell Ellipticity (prolate)
 ==================== 
Cell Ellipticity (prolate),Unit,Category,Time,Default Labels,ID,
0.669186,,Cell,1,ATM,0,
0.511814,,Cell,1,TVC,1,
0.358496,,Cell,1,TVC,2,
0.510662,,Cell,1,ATM,3,
0.283359,,Cell,1,TVC,4,
0.353141,,Cell,1,TVC,5,
