
Cell Distance to Image Border XYZ Img=1
 ==================== 
Cell Distance to Image Border XYZ,Unit,Category,Image,Time,Default Labels,ID,
8.47817,um,Cell,Image 1,1,ATM,1,
10.5977,um,Cell,Image 1,1,ATM,2,
1.69564,um,Cell,Image 1,1,TVC,3,
1.27173,um,Cell,Image 1,1,TVC,4,
1.69564,um,Cell,Image 1,1,TVC,5,
0.847824,um,Cell,Image 1,1,TVC,6,
