
Nucleus Ellipsoid Axis A
 ==================== 
Nucleus Ellipsoid Axis A X,Nucleus Ellipsoid Axis A Y,Nucleus Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
-0.789178,-0.606755,0.0951164,um,Nucleus,Nucleus Ellipsoid Axis A,1,ATM,0,100000000,
-0.0367847,0.99804,0.050635,um,Nucleus,Nucleus Ellipsoid Axis A,1,ATM,1,100000001,
0.795129,-0.595663,0.113823,um,Nucleus,Nucleus Ellipsoid Axis A,1,ATM,2,100000002,
0.728295,-0.685228,-0.0069321,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,3,100000003,
0.1018,-0.994278,-0.03236,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,4,100000004,
0.732369,0.678794,0.0536061,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,5,100000005,
-0.329955,-0.937331,-0.111983,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,6,100000006,
