
Nucleus Volume
 ==================== 
Nucleus Volume,Unit,Category,Time,Default Labels,CellID,ID,
97.0672,um^3,Nucleus,1,TVC,3,100000000,
126.136,um^3,Nucleus,1,TVC,4,100000001,
188.293,um^3,Nucleus,1,TVC,5,100000002,
199.426,um^3,Nucleus,1,TVC,6,100000003,
415.825,um^3,Nucleus,1,ATM,7,100000004,
505.883,um^3,Nucleus,1,ATM,8,100000005,
