
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
33704.4,81791.1,72.7788,um,Surface,Center of Homogeneous Mass,1,ATMgroup,0,
33662.2,81731.6,46.7313,um,Surface,Center of Homogeneous Mass,1,TVCgroup,2,
