
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
-0.47741,-0.876898,-0.0559398,um,Surface,Ellipsoid Axis C,1,ATM,0,
0.648416,-0.730038,0.215872,um,Surface,Ellipsoid Axis C,1,TVCgroup,1,
