
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
40613.8,48606.7,63.0532,um,Surface,Center of Homogeneous Mass,1,ATMgroup,1,
40642.7,48560.1,69.9184,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
