
Cell Area
 ==================== 
Cell Area,Unit,Category,Time,Default Labels,ID,
3315.58,um^2,Cell,1,ATM,0,
3726.05,um^2,Cell,1,TVC,1,
5131.74,um^2,Cell,1,ATM,2,
4376.64,um^2,Cell,1,TVC,3,
