
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
38722.7,62380.4,-10.4263,um,Surface,2,Center of Image Mass,Image 1,1,ATM,5,
38724.1,62364.3,7.83659,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,0,
