
Nucleus Ellipsoid Axis A
 ==================== 
Nucleus Ellipsoid Axis A X,Nucleus Ellipsoid Axis A Y,Nucleus Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
-0.948096,-0.28556,-0.139888,um,Nucleus,Nucleus Ellipsoid Axis A,1,ATM,11,100000010,
0.871928,0.412998,0.263011,um,Nucleus,Nucleus Ellipsoid Axis A,1,ATM,12,100000011,
0.209349,-0.972574,0.101357,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,1,100000000,
-0.684319,0.695471,-0.219151,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,2,100000001,
0.346319,-0.924169,0.161169,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,3,100000002,
0.765401,0.643266,0.019251,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,8,100000007,
