
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Default Labels,ID,
47524.1,38129.3,164.519,um,Surface,Position,1,ATMgroup,0,
47528.1,38072.4,147.829,um,Surface,Position,1,TVCgroup,2,
