
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
39137.9,63255.8,26.3501,um,Surface,Center of Homogeneous Mass,1,ATMgroup,2,
39110.9,63313.7,-5.85664,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
