
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Default Labels,ID,
37891.3,38995.7,86.9081,um,Surface,Position,1,ATMgroup,0,
37828.8,39014.1,111.698,um,Surface,Position,1,TVCgroup,1,
