
Cell Cytoplasm Area
 ==================== 
Cell Cytoplasm Area,Unit,Category,Time,Default Labels,ID,
5458.51,um^2,Cell,1,ATM,0,
2247.7,um^2,Cell,1,TVC,2,
1562.03,um^2,Cell,1,TVC,3,
2489.81,um^2,Cell,1,TVC,4,
1174.6,um^2,Cell,1,TVC,7,
2424.81,um^2,Cell,1,TVC,10,
1555.01,um^2,Cell,1,TVC,11,
