
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
0.556102,0.535983,0.635195,um,Surface,Ellipsoid Axis A,1,ATM,6,
-0.115324,0.191995,0.974596,um,Surface,Ellipsoid Axis A,1,TVCgroup,0,
