
Cell Center of Homogeneous Mass
 ==================== 
Cell Center of Homogeneous Mass X,Cell Center of Homogeneous Mass Y,Cell Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
44461.5,57429.8,67.2077,um,Cell,Cell Center of Homogeneous Mass,1,ATM,8,
44433.5,57398,68.5591,um,Cell,Cell Center of Homogeneous Mass,1,ATM,9,
44424.3,57354,40.1123,um,Cell,Cell Center of Homogeneous Mass,1,TVC,0,
44434.5,57351.8,40.6963,um,Cell,Cell Center of Homogeneous Mass,1,TVC,2,
44423.7,57363.7,41.9767,um,Cell,Cell Center of Homogeneous Mass,1,TVC,3,
44435.6,57359.3,44.4232,um,Cell,Cell Center of Homogeneous Mass,1,TVC,6,
