
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
44265.2,59401.9,76.4655,um,Surface,Center of Homogeneous Mass,1,ATMgroup,0,
44232.2,59360.3,112.04,um,Surface,Center of Homogeneous Mass,1,TVCgroup,1,
