
Nucleus Ellipsoid Axis B
 ==================== 
Nucleus Ellipsoid Axis B X,Nucleus Ellipsoid Axis B Y,Nucleus Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
-0.0415347,0.0884361,0.995216,um,Nucleus,Nucleus Ellipsoid Axis B,1,ATM,9,100000008,
-0.670197,-0.728661,0.141029,um,Nucleus,Nucleus Ellipsoid Axis B,1,ATM,10,100000009,
-0.134089,0.989072,-0.061293,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,1,100000000,
-0.832158,-0.462364,0.306157,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,2,100000001,
0.10793,-0.991645,-0.0706564,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,3,100000002,
0.0418359,0.998661,0.0304445,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,4,100000003,
