
Cell Ellipsoid Axis B
 ==================== 
Cell Ellipsoid Axis B X,Cell Ellipsoid Axis B Y,Cell Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,ID,
0.866101,-0.483194,-0.128033,um,Cell,Cell Ellipsoid Axis B,1,ATM,0,
-0.863173,-0.407844,-0.297652,um,Cell,Cell Ellipsoid Axis B,1,ATM,1,
0.142614,-0.85253,0.502845,um,Cell,Cell Ellipsoid Axis B,1,ATM,2,
-0.29498,0.0555804,0.953885,um,Cell,Cell Ellipsoid Axis B,1,ATM,3,
-0.0443267,0.980424,0.191842,um,Cell,Cell Ellipsoid Axis B,1,TVC,4,
0.54668,-0.802014,-0.240655,um,Cell,Cell Ellipsoid Axis B,1,TVC,5,
0.45188,-0.891542,-0.0309451,um,Cell,Cell Ellipsoid Axis B,1,TVC,6,
0.591176,-0.0392204,-0.805588,um,Cell,Cell Ellipsoid Axis B,1,TVC,7,
