
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
47374.4,81223.9,200.643,um,Surface,Center of Homogeneous Mass,1,ATMgroup,2,
47418.1,81181.3,177.363,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
